"ID","釣り方","レベル","種類","メーカー","商品名","番手・モデル","商品画像URL","状態"
"053","ライトショアジギング","中級者","ロッド","DAIWA","ドラッガー X 96ML","96ML","","未設定"
"054","ライトショアジギング","中級者","ロッド","SHIMANO","コルトスナイパー XR","S96ML","","未設定"
"055","ライトショアジギング","中級者","リール","DAIWA","レグザ LT4000-CXH","LT4000-CXH","","未設定"
"056","ライトショアジギング","中級者","リール","SHIMANO","ストラディック","C5000XG","","未設定"
"057","ライトショアジギング","上級者","ロッド","DAIWA","ドラッガー SX","9.6ft前後・ML〜M","","未設定"
"058","ライトショアジギング","上級者","ロッド","SHIMANO","コルトスナイパー XR","S100MH","","未設定"
"059","ライトショアジギング","上級者","リール","DAIWA","セルテート LT4000-CXH","LT4000-CXH","","未設定"
"060","ライトショアジギング","上級者","リール","SHIMANO","ツインパワー SW","5000HG","","未設定"
"061","ショアジギング","初級者","ロッド","DAIWA","ショアジギング X 96M","96M","","未設定"
"062","ショアジギング","初級者","ロッド","SHIMANO","コルトスナイパー BB","S100MH","","未設定"
"063","ショアジギング","初級者","リール","DAIWA","24 レブロス","LT5000-CXH","","未設定"
"064","ショアジギング","初級者","リール","SHIMANO","サハラ","C5000","","未設定"
"065","ショアジギング","中級者","ロッド","DAIWA","ドラッガー X 96M","96M","","未設定"
"066","ショアジギング","中級者","ロッド","SHIMANO","コルトスナイパー XR","S96M","","未設定"
"067","ショアジギング","中級者","リール","DAIWA","セルテート LT5000D-CXH","LT5000D-CXH","","未設定"
"068","ショアジギング","中級者","リール","SHIMANO","ストラディック SW","5000XG","","未設定"
"069","ショアジギング","上級者","ロッド","DAIWA","ドラッガー SX","9.6〜10.0ft・M〜MH","","未設定"
"070","ショアジギング","上級者","ロッド","SHIMANO","コルトスナイパー XR","S100XH","","未設定"
"071","ショアジギング","上級者","リール","DAIWA","セルテート SW 5000〜6000番クラス","SW 5000〜6000番クラス","","未設定"
"072","ショアジギング","上級者","リール","SHIMANO","ツインパワー SW","5000〜8000HG","","未設定"
"073","チニング","初級者","ロッド","DAIWA","シルバーウルフ 73LML-S","73LML-S","","未設定"
"074","チニング","初級者","ロッド","SHIMANO","ブレニアス BB","S610L","","未設定"
"075","チニング","初級者","リール","DAIWA","23 レガリス","LT2500S-XH","","未設定"
"076","チニング","初級者","リール","SHIMANO","シエナ","C3000","","未設定"
"077","チニング","中級者","ロッド","DAIWA","シルバーウルフ MX 82ML","82ML","","未設定"
"078","チニング","中級者","ロッド","SHIMANO","ブレニアス BB","S79ML","","未設定"
"079","チニング","中級者","リール","DAIWA","25セルテート LT3000-XH","LT3000-XH","","未設定"
"080","チニング","中級者","リール","SHIMANO","ストラディック","C3000","","未設定"
"081","チニング","上級者","ロッド","DAIWA","シルバーウルフ EX","7.0〜7.6ft・ML","","未設定"
"082","チニング","上級者","ロッド","SHIMANO","ブレニアス エクスチューン","S79ML","","未設定"
"083","チニング","上級者","リール","DAIWA","シルバーウルフ SV TW PE SPECIAL","SV TW PE SPECIAL","","未設定"
"084","チニング","上級者","リール","SHIMANO","アルデバラン BFS","XG","","未設定"
"085","ロックフィッシュ","初級者","ロッド","DAIWA","HRF 79M","79M","","未設定"
"086","ロックフィッシュ","初級者","ロッド","SHIMANO","ハードロッカー BB","S79M","","未設定"
"087","ロックフィッシュ","初級者","リール","DAIWA","24 レブロス","LT3000-CXH","","未設定"
"088","ロックフィッシュ","初級者","リール","SHIMANO","サハラ","C3000","","未設定"
"089","ロックフィッシュ","中級者","ロッド","DAIWA","HRF 86MHB","86MHB","","未設定"
"090","ロックフィッシュ","中級者","ロッド","SHIMANO","ハードロッカー SS","S86MH","","未設定"
"091","ロックフィッシュ","中級者","リール","DAIWA","タトゥーラ SV TW","SV TW","","未設定"
"092","ロックフィッシュ","中級者","リール","SHIMANO","SLX","DC","","未設定"
"093","ロックフィッシュ","上級者","ロッド","DAIWA","HRF AIR 86MHB","86MHB","","未設定"
"094","ロックフィッシュ","上級者","ロッド","SHIMANO","ハードロッカー エクスチューン","S86MH","","未設定"
"095","ロックフィッシュ","上級者","リール","DAIWA","ジリオン TW HD","TW HD","","未設定"
"096","ロックフィッシュ","上級者","リール","SHIMANO","スコーピオン MD","MD","","未設定"
